,Strategic Asset Classes,,,,,,,,,,,,,,,,,,,,,
Name,JPM US CASH 3M - TOT RETURN IND,Barclays Global Aggregate - Government USD - Month-to-Date Rtn - TOTAL RETURN,Barclays Global Aggregate - Corporate USD - Month-to-Date Rtn - TOTAL RETURN,BOFA ML US HY MASTER II ($) - TOT RETURN IND,JPM EMBI GLOBAL COMPOSITE - TOT RETURN IND,SWISS PERFORMANCE INDEX - TOT RETURN IND,MSCI NORTH AMERICA U$ - TOT RETURN IND,MSCI EMU U$ - TOT RETURN IND,MSCI UK U$ - TOT RETURN IND,MSCI PACIFIC U$ - TOT RETURN IND,MSCI EM U$ - TOT RETURN IND,MSCI WORLD :S U$ - TOT RETURN IND,,,,,,,,,,
Code,JPUS3ML(RI),LHGAGOV(TOTR),LHGACRP(TOTR),MLHMAU$(RI),JPMGTOT(RI),SWSPIXD(RI)~U$,MSNAMR$(RI),MSEMUI$(RI),MSUTDK$(RI),MSPACF$(RI),MSEMKF$(RI),MSSWLD$(RI),,,,,,,,,,
CURRENCY,U$,U$,U$,U$,U$,U$,U$,U$,U$,U$,U$,U$,,,,,,,,,,
31/7/2001,0.37%,2.20%,2.64%,1.65%,-5.18%,-1.64%,-0.91%,0.48%,0.10%,-6.49%,-6.32%,-3.31%,,,,,,,,,,
31/8/2001,0.35%,3.69%,2.63%,0.79%,4.48%,-0.70%,-6.59%,-3.72%,-0.95%,-2.35%,-0.99%,-0.20%,,,,,,,,,,
28/9/2001,0.44%,0.75%,-0.13%,-6.96%,-3.27%,-7.10%,-7.71%,-12.61%,-6.58%,-10.43%,-15.48%,-13.08%,,,,,,,,,,
31/10/2001,0.31%,0.58%,1.29%,3.26%,0.05%,0.27%,1.41%,4.43%,1.93%,1.06%,6.21%,6.70%,,,,,,,,,,
30/11/2001,0.21%,-1.34%,-0.77%,3.51%,-1.28%,2.08%,7.76%,4.97%,2.18%,2.89%,10.44%,6.31%,,,,,,,,,,
31/12/2001,0.20%,-2.84%,-1.67%,-0.79%,1.19%,2.05%,0.67%,2.82%,2.37%,-4.41%,7.94%,2.59%,,,,,,,,,,
31/1/2002,0.16%,-1.56%,-0.47%,0.55%,1.85%,-5.62%,-1.38%,-5.57%,-4.22%,-5.55%,3.39%,-2.05%,,,,,,,,,,
28/2/2002,0.15%,0.55%,0.46%,-1.32%,3.75%,2.03%,-1.92%,-0.53%,-0.48%,2.69%,1.64%,-0.85%,,,,,,,,,,
29/3/2002,0.14%,-0.31%,-0.90%,2.44%,0.11%,6.69%,3.72%,5.90%,4.63%,5.49%,6.02%,7.83%,,,,,,,,,,
30/4/2002,0.22%,3.47%,2.23%,1.68%,0.98%,2.84%,-6.27%,-1.51%,0.32%,4.48%,0.65%,1.62%,,,,,,,,,,
31/5/2002,0.18%,2.74%,2.22%,-0.76%,-0.52%,4.02%,-0.63%,-0.10%,-1.63%,5.26%,-1.59%,-0.25%,,,,,,,,,,
28/6/2002,0.16%,4.54%,2.31%,-7.77%,-5.04%,-3.96%,-7.55%,-2.82%,-4.22%,-5.20%,-7.50%,-5.17%,,,,,,,,,,
31/7/2002,0.18%,1.01%,0.05%,-3.85%,-4.53%,-12.25%,-7.35%,-14.15%,-6.73%,-6.74%,-7.61%,-10.86%,,,,,,,,,,
30/8/2002,0.15%,1.75%,2.13%,2.47%,7.32%,-0.46%,0.51%,0.91%,-1.04%,-0.70%,1.54%,-0.46%,,,,,,,,,,
30/9/2002,0.16%,0.97%,1.37%,-1.53%,-2.77%,-6.96%,-11.16%,-16.89%,-10.35%,-4.90%,-10.79%,-7.54%,,,,,,,,,,
31/10/2002,0.18%,-0.31%,-0.94%,-0.84%,6.15%,2.98%,8.85%,12.92%,7.84%,-3.98%,6.49%,1.22%,,,,,,,,,,
29/11/2002,0.18%,0.08%,1.23%,6.22%,2.84%,2.96%,6.01%,6.57%,3.01%,3.65%,6.88%,5.65%,,,,,,,,,,
31/12/2002,0.14%,4.71%,4.32%,1.48%,3.07%,-2.24%,-5.84%,-4.73%,-2.16%,-2.70%,-3.32%,-4.54%,,,,,,,,,,
31/1/2003,0.13%,1.26%,1.16%,3.00%,1.65%,-3.75%,-2.21%,-3.25%,-7.05%,-2.78%,-0.44%,-1.77%,,,,,,,,,,
28/2/2003,0.11%,1.42%,1.49%,1.35%,3.20%,-5.11%,-1.31%,-4.15%,-1.61%,0.10%,-2.70%,-1.73%,,,,,,,,,,
31/3/2003,0.12%,0.26%,0.28%,2.64%,1.62%,-0.51%,0.84%,-3.03%,-0.10%,-2.94%,-2.84%,0.25%,,,,,,,,,,
30/4/2003,0.10%,1.22%,2.09%,5.81%,5.70%,11.85%,8.27%,16.41%,10.40%,0.92%,8.91%,10.35%,,,,,,,,,,
30/5/2003,0.11%,4.10%,4.07%,1.12%,4.15%,6.55%,5.50%,7.16%,6.14%,4.93%,7.18%,10.46%,,,,,,,,,,
30/6/2003,0.14%,-1.47%,-0.73%,2.82%,0.00%,-0.15%,1.30%,1.49%,0.86%,6.36%,5.70%,3.27%,,,,,,,,,,
31/7/2003,0.10%,-2.97%,-3.39%,-1.36%,-3.54%,3.90%,1.79%,2.54%,0.62%,3.42%,6.26%,4.02%,,,,,,,,,,
29/8/2003,0.09%,-0.39%,0.00%,1.23%,2.43%,-0.50%,2.02%,0.04%,-0.68%,8.96%,6.71%,6.27%,,,,,,,,,,
30/9/2003,0.10%,5.44%,5.00%,2.76%,3.51%,4.66%,-1.03%,0.27%,3.54%,5.55%,0.73%,1.88%,,,,,,,,,,
31/10/2003,0.10%,-0.49%,-0.69%,2.07%,0.49%,2.80%,5.75%,7.45%,6.79%,5.22%,8.51%,8.83%,,,,,,,,,,
28/11/2003,0.09%,1.52%,1.29%,1.34%,1.23%,5.31%,1.06%,5.21%,2.97%,-2.32%,1.23%,1.80%,,,,,,,,,,
31/12/2003,0.11%,3.69%,3.20%,2.42%,2.94%,7.76%,5.21%,8.87%,7.49%,6.86%,7.25%,4.21%,,,,,,,,,,
30/1/2004,0.10%,0.34%,0.50%,1.59%,0.51%,2.85%,1.78%,1.75%,-0.30%,2.01%,3.55%,4.30%,,,,,,,,,,
27/2/2004,0.09%,0.17%,0.93%,-0.13%,0.35%,0.89%,1.26%,1.91%,4.57%,0.83%,4.61%,2.07%,,,,,,,,,,
31/3/2004,0.11%,1.46%,0.93%,0.71%,2.49%,-2.68%,-1.54%,-3.88%,-2.34%,9.68%,1.28%,2.84%,,,,,,,,,,
30/4/2004,0.09%,-4.21%,-3.53%,-0.66%,-5.43%,1.39%,-1.85%,-1.24%,-0.70%,-5.37%,-8.18%,-4.53%,,,,,,,,,,
31/5/2004,0.09%,0.66%,0.26%,-1.57%,-1.48%,1.15%,1.39%,1.61%,2.18%,-2.57%,-1.97%,0.47%,,,,,,,,,,
30/6/2004,0.08%,0.21%,0.28%,1.45%,1.47%,0.28%,2.00%,2.48%,0.02%,4.14%,0.46%,4.46%,,,,,,,,,,
30/7/2004,0.14%,-0.42%,0.43%,1.33%,2.97%,-3.70%,-3.24%,-3.82%,-0.99%,-4.31%,-1.77%,-5.14%,,,,,,,,,,
31/8/2004,0.15%,2.35%,2.27%,1.84%,4.13%,-1.14%,0.49%,-0.23%,0.57%,1.32%,4.19%,-0.12%,,,,,,,,,,
30/9/2004,0.12%,1.33%,1.27%,1.39%,1.67%,2.59%,1.41%,4.49%,3.22%,-0.38%,5.78%,3.68%,,,,,,,,,,
